,,,variables
Control runs,v3,ice_month,"xt, xb, yt, yb, time, nv, ct, xv, yv, CELL_AREA, GEOLAT, GEOLON, ALB, CN, EXT, FRAZIL, LH, LSNK, LSRC, LW, MI, RAIN, RUNOFF, SH, SW, TS, T1, T2, UI, VI, XPRT, average_T1, average_T2, average_DT, time_bounds"
Control runs,v3,land_daily,"lon, lonb, lat, latb, zfull, zhalf, time, nv, temp, water, average_T1, average_T2, average_DT, time_bounds"
Control runs,v3,land_month,"lon, lonb, lat, latb, time, nv, scalar_axis, zfull, zhalf, disch_w, disch_s, area, ground_type, hlf, hlv, lfrac, albedo, evap, flw, fsw, frozen, groundwater, latent, precip, sens, temp, water, sroff, wroff, average_T1, average_T2, average_DT, time_bounds"
Control runs,v3,ocean_bgc_month,"xt_ocean, yt_ocean, st_ocean, st_edges_ocean, time, nv, scalar_axis, no3, phy, o2, det, zoo, caco3, dic, alk, fe, stf03, stf07, stf08, stf09, btf01, btf03, btf07, btf08, btf09, pco2, paco2, pprod_gross, pprod_gross_2d, det_sediment, caco3_sediment, total_co2_flux, total_aco2_flux, average_T1, average_T2, average_DT, time_bounds"
Control runs,v3,ocean_clim,"nv, st_edges_ocean, sw_edges_ocean, time, time_bounds, mld, xt_ocean, yt_ocean, eta_t, tx_trans_int_z, xu_ocean, ty_trans_int_z, yu_ocean, st_ocean, temp, salt, u, v, sw_ocean, wt, cfc_11, cfc_12"
Control runs,v3,ocean_daily,"xt_ocean, yt_ocean, time, nv, xu_ocean, yu_ocean, area_t, area_u, geolat_c, geolat_t, ht, patm_t, eta_t, sss, sst, u_surf, v_surf, mld, mld_sq, average_T1, average_T2, average_DT, time_bounds"
Control runs,v3,ocean_force,"xt_ocean, yt_ocean, time, nv, xu_ocean, yu_ocean, frazil_2d, pme_mass, pme, river, evap, fprec, lprec, swflx, swflx_vis, evap_heat, lw_heat, sens_heat, sfc_hflux_pme, tau_x, tau_y, average_T1, average_T2, average_DT, time_bounds"
Control runs,v3,ocean_month,"xt_ocean, yt_ocean, time, nv, xu_ocean, yu_ocean, st_ocean, st_edges_ocean, area_t, area_u, dht, eta_t, age_global, salt, temp, con_temp, u, v, mld, mld_sq, tx_trans, ty_trans, tx_trans_gm, ty_trans_gm, psiu, psiv, tx_trans_int_z, ty_trans_int_z, diff_cbt_t, average_T1, average_T2, average_DT, time_bounds"
Control runs,v3,ocean_scalar,No permission
Forecast runs,v0,atmos_daily,"lon, lonb, lat, latb, time, nv, phalf, pfull, lwflx, shflx, tau_x, tau_y, t_ref, q_ref, u_ref, v_ref, t_ref_min, t_ref_max, t_surf, ps, slp, h500, hght, sphum, temp, ucomp, vcomp, precip, lwdn_sfc, lwup_sfc, olr, swdn_sfc, swup_sfc, swup_toa, high_cld_amt, low_cld_amt, mid_cld_amt, tot_cld_amt, average_T1, average_T2, average_DT, time_bounds"
Forecast runs,v0,ice_daily,"xt, xb, yt, yb, time, nv, EXT, FRAZIL, MI, average_T1, average_T2, average_DT, time_bounds"
Forecast runs,v0,ice_month,"xt, xb, yt, yb, time, nv, ct, xv, yv, CELL_AREA, CN, EXT, MI, UI, VI, average_T1, average_T2, average_DT, time_bounds"
Forecast runs,v0,land_daily,"lon, lonb, lat, latb, time, nv, scalar_axis, zfull, zhalf, disch_w, disch_s, area, ground_type, hlf, hlv, lfrac, albedo, evap, flw, fsw, frozen, groundwater, latent, precip, sens, snow, temp, water, average_T1, average_T2, average_DT, time_bounds"
Forecast runs,v0,ocean_daily,"xt_ocean, yt_ocean, time, nv, xu_ocean, yu_ocean, area_t, area_u, geolat_c, geolat_t, ht, patm_t, eta_t, sss, sst, u_surf, v_surf, average_T1, average_T2, average_DT, time_bounds"
Forecast runs,v0,ocean_force,"xt_ocean, yt_ocean, time, nv, xu_ocean, yu_ocean, river, evap, fprec, lprec, swflx, swflx_vis, evap_heat, lw_heat, sens_heat, tau_x, tau_y, average_T1, average_T2, average_DT, time_bounds"
Forecast runs,v0,ocean_month,"xt_ocean, yt_ocean, time, nv, xu_ocean, yu_ocean, st_ocean, st_edges_ocean, sw_ocean, sw_edges_ocean, area_t, area_u, eta_t, age_global, salt, temp, con_temp, u, v, wt, mld, mld_sq, tx_trans, ty_trans, tx_trans_gm, ty_trans_gm, psiu, psiv, tx_trans_int_z, ty_trans_int_z, diff_cbt_t, average_T1, average_T2, average_DT, time_bounds"
Forecast runs,v1,atmos_daily,"lon, lonb, lat, latb, time, nv, phalf, pfull, lwflx, shflx, tau_x, tau_y, t_ref, q_ref, u_ref, v_ref, t_ref_min, t_ref_max, t_surf, ps, slp, h500, hght, sphum, temp, ucomp, vcomp, precip, lwdn_sfc, lwup_sfc, olr, swdn_sfc, swup_sfc, swup_toa, high_cld_amt, low_cld_amt, mid_cld_amt, tot_cld_amt, average_T1, average_T2, average_DT, time_bounds"
Forecast runs,v1,ice_daily,"xt, xb, yt, yb, time, nv, EXT, FRAZIL, MI, average_T1, average_T2, average_DT, time_bounds"
Forecast runs,v1,ice_month,"xt, xb, yt, yb, time, nv, ct, xv, yv, CELL_AREA, CN, EXT, MI, UI, VI, average_T1, average_T2, average_DT, time_bounds"
Forecast runs,v1,land_daily,"lon, lonb, lat, latb, time, nv, scalar_axis, zfull, zhalf, disch_w, disch_s, area, ground_type, hlf, hlv, lfrac, albedo, evap, flw, fsw, frozen, groundwater, latent, precip, sens, snow, temp, water, average_T1, average_T2, average_DT, time_bounds"
Forecast runs,v1,ocean_daily,"xt_ocean, yt_ocean, time, nv, xu_ocean, yu_ocean, area_t, area_u, geolat_c, geolat_t, ht, patm_t, eta_t, sss, sst, u_surf, v_surf, average_T1, average_T2, average_DT, time_bounds"
Forecast runs,v1,ocean_force,"xt_ocean, yt_ocean, time, nv, xu_ocean, yu_ocean, river, evap, fprec, lprec, swflx, swflx_vis, evap_heat, lw_heat, sens_heat, tau_x, tau_y, average_T1, average_T2, average_DT, time_bounds"
Forecast runs,v1,ocean_month,"xt_ocean, yt_ocean, time, nv, xu_ocean, yu_ocean, st_ocean, st_edges_ocean, sw_ocean, sw_edges_ocean, area_t, area_u, eta_t, age_global, salt, temp, con_temp, u, v, wt, mld, mld_sq, tx_trans, ty_trans, tx_trans_gm, ty_trans_gm, psiu, psiv, tx_trans_int_z, ty_trans_int_z, diff_cbt_t, average_T1, average_T2, average_DT, time_bounds"
Forecast runs,v1,ocean_scalar,"scalar_axis, time, nv, total_ocean_river, total_ocean_evap, total_ocean_pme_sbc, total_ocean_fprec, total_ocean_lprec, total_ocean_calving, total_ocean_runoff, salt_total, temp_total, total_ocean_hflux_pme, ke_tot, pe_tot, eta_nonbouss_global, eta_steric_global, eta_nonsteric_global, average_T1, average_T2, average_DT, time_bounds"
